tempreature/J                              E                                     Cv                                    m                                  chi
2.750000000000e+00                    -1.170967401501e+00                    1.264736912123e+00                    6.818134380863e-01                    1.532048345365e-03                    
2.800000000000e+00                    -1.155216932458e+00                    1.241197386153e+00                    6.639235459662e-01                    1.408095003972e-03                    
2.850000000000e+00                    -1.118962242026e+00                    1.189437123852e+00                    6.444734990619e-01                    1.352054320180e-03                    
2.900000000000e+00                    -1.082313555347e+00                    1.161728960112e+00                    6.330792682927e-01                    1.355381186152e-03                    
2.950000000000e+00                    -1.017505863039e+00                    1.090593063000e+00                    6.139440666041e-01                    1.351622255571e-03                    
3.000000000000e+00                    -1.012834193246e+00                    1.063748919059e+00                    6.035858348968e-01                    1.398418819640e-03                    
3.050000000000e+00                    -9.848299718574e-01                    1.013761984187e+00                    5.864247185741e-01                    1.286958094567e-03                    
3.100000000000e+00                    -9.497701688555e-01                    9.878217877150e-01                    5.838672607880e-01                    1.223205539246e-03                    
3.150000000000e+00                    -9.336362570356e-01                    9.342001694452e-01                    5.552016885553e-01                    1.273427149072e-03                    
3.200000000000e+00                    -9.071071763602e-01                    8.901295601081e-01                    5.567483583490e-01                    1.330446340013e-03                    
3.250000000000e+00                    -8.732668855535e-01                    8.639222232236e-01                    5.385107879925e-01                    1.228036431371e-03                    
3.300000000000e+00                    -8.531930112570e-01                    8.136660221791e-01                    5.281203095685e-01                    1.229415899696e-03                    
3.350000000000e+00                    -8.499671669794e-01                    7.934617698978e-01                    5.171663930582e-01                    1.176516584830e-03                    
3.400000000000e+00                    -8.162980769231e-01                    7.592271847748e-01                    5.080165337711e-01                    1.123654105873e-03                    
3.450000000000e+00                    -7.899237804878e-01                    7.094952491691e-01                    5.008812148218e-01                    1.092902941002e-03                    
3.500000000000e+00                    -7.843796904315e-01                    6.715378200321e-01                    4.821746013133e-01                    1.064749594180e-03                    
3.550000000000e+00                    -7.588285647280e-01                    6.550458147069e-01                    4.840238039400e-01                    1.003529144904e-03                    
3.600000000000e+00                    -7.341099906191e-01                    6.313822673333e-01                    4.615683630394e-01                    9.548447136485e-04                    
3.650000000000e+00                    -7.153588180113e-01                    6.170573750136e-01                    4.579655253283e-01                    9.755196461384e-04                    
3.700000000000e+00                    -7.048065196998e-01                    5.767882348190e-01                    4.549671669794e-01                    9.832805907537e-04                    
3.750000000000e+00                    -6.851407129456e-01                    5.533894231111e-01                    4.481238273921e-01                    9.289550933074e-04                    
3.800000000000e+00                    -6.765912288931e-01                    5.236093520066e-01                    4.530036350844e-01                    8.821516325203e-04                    
3.850000000000e+00                    -6.720286116323e-01                    4.935938131285e-01                    4.329274155722e-01                    8.674591139235e-04                    
3.900000000000e+00                    -6.513860225141e-01                    4.825575271784e-01                    4.278599906191e-01                    8.562278634266e-04                    
3.950000000000e+00                    -6.393632739212e-01                    4.830504467912e-01                    4.229133442777e-01                    7.971916841653e-04                    
4.000000000000e+00                    -6.224343339587e-01                    4.457705661782e-01                    4.201799953096e-01                    7.849746529594e-04                    
4.050000000000e+00                    -6.145766885553e-01                    4.376378185363e-01                    4.119418386492e-01                    7.572383452003e-04                    
4.100000000000e+00                    -6.045743433396e-01                    4.169869397846e-01                    4.016539634146e-01                    7.554269900555e-04                    
4.150000000000e+00                    -5.901031894934e-01                    3.941142197990e-01                    4.071792917448e-01                    7.016829988188e-04                    
4.200000000000e+00                    -5.915560506567e-01                    3.709221314176e-01                    3.962963180113e-01                    7.128258796616e-04                    
