tempreature/J                              E                                     Cv                                    m                                  chi
3.150000000000e+00                    -1.533862574257e+00                    6.406380149377e-01                    2.444474797480e-01                    4.050772914552e-05                    
3.175000000000e+00                    -1.515115391539e+00                    6.236484517141e-01                    2.421975217522e-01                    4.124862685383e-05                    
3.200000000000e+00                    -1.494855277528e+00                    6.019551984705e-01                    2.401459555956e-01                    4.034601766708e-05                    
3.225000000000e+00                    -1.477218757876e+00                    5.896359188247e-01                    2.330799309931e-01                    3.971527705967e-05                    
3.250000000000e+00                    -1.459370069007e+00                    5.828048789641e-01                    2.272489888989e-01                    3.941866780857e-05                    
3.275000000000e+00                    -1.448803228323e+00                    5.684907506934e-01                    2.244943114311e-01                    3.656984516390e-05                    
3.300000000000e+00                    -1.432496693669e+00                    5.490269689402e-01                    2.215335253525e-01                    3.681822498064e-05                    
3.325000000000e+00                    -1.412262334233e+00                    5.378031701550e-01                    2.227283528353e-01                    3.654841784662e-05                    
3.350000000000e+00                    -1.404190891089e+00                    5.228694748555e-01                    2.157988028803e-01                    3.601349110052e-05                    
3.375000000000e+00                    -1.385829570957e+00                    5.148490095018e-01                    2.133596819682e-01                    3.481782141696e-05                    
3.400000000000e+00                    -1.370716831683e+00                    4.985897309448e-01                    2.083847014701e-01                    3.421452139395e-05                    
3.425000000000e+00                    -1.366438775878e+00                    4.979127484394e-01                    2.098307740774e-01                    3.369300478255e-05                    
3.450000000000e+00                    -1.347967344734e+00                    4.798979629433e-01                    2.055979057906e-01                    3.270884134081e-05                    
3.475000000000e+00                    -1.338113219322e+00                    4.763204968933e-01                    2.009753705371e-01                    3.141597203084e-05                    
3.500000000000e+00                    -1.321818973897e+00                    4.644793937860e-01                    1.990077827783e-01                    3.139832555831e-05                    
3.525000000000e+00                    -1.312126876688e+00                    4.526839434790e-01                    1.981170087009e-01                    3.075593298523e-05                    
3.550000000000e+00                    -1.296170393039e+00                    4.428675674187e-01                    1.960648814881e-01                    3.019368599661e-05                    
3.575000000000e+00                    -1.285423546355e+00                    4.322703999681e-01                    1.946753525353e-01                    2.989540322471e-05                    
3.600000000000e+00                    -1.275987230723e+00                    4.347192711226e-01                    1.897472067207e-01                    2.886162134390e-05                    
3.625000000000e+00                    -1.262976561656e+00                    4.277532523166e-01                    1.888038733873e-01                    2.837343297574e-05                    
3.650000000000e+00                    -1.251228742874e+00                    4.131854199664e-01                    1.881288058806e-01                    2.826575513641e-05                    
3.675000000000e+00                    -1.238413825383e+00                    4.067588906810e-01                    1.847532283228e-01                    2.696936280107e-05                    
3.700000000000e+00                    -1.226658313831e+00                    3.994468286586e-01                    1.830914701470e-01                    2.707209445753e-05                    
3.725000000000e+00                    -1.218768784878e+00                    3.903797538371e-01                    1.817324392439e-01                    2.614109166911e-05                    
3.750000000000e+00                    -1.208710591059e+00                    3.862047063707e-01                    1.795828352835e-01                    2.583721588053e-05                    
3.775000000000e+00                    -1.200850333033e+00                    3.740027443663e-01                    1.795472037204e-01                    2.522859963726e-05                    
3.800000000000e+00                    -1.191087392739e+00                    3.690752195156e-01                    1.785096099610e-01                    2.497134228113e-05                    
3.825000000000e+00                    -1.178595559556e+00                    3.669971960464e-01                    1.762229312931e-01                    2.415058715089e-05                    
