tempreature                            E                                     Cv                                    S
8.100000000000e+00                    -2.189928741455e+00                    1.750276571422e+00                    2.894122432415e-01                    
8.200000000000e+00                    -2.159779632568e+00                    1.699034581537e+00                    2.666724364669e-01                    
8.300000000000e+00                    -2.136917449951e+00                    1.731385890849e+00                    2.914622470530e-01                    
8.400000000000e+00                    -2.103282806396e+00                    1.689066969488e+00                    2.737854771322e-01                    
8.500000000000e+00                    -2.068896087646e+00                    1.708669854033e+00                    2.923156649601e-01                    
8.600000000000e+00                    -2.044050964355e+00                    1.624585879531e+00                    2.475725952455e-01                    
8.700000000000e+00                    -2.013208892822e+00                    1.632142369651e+00                    2.584901680290e-01                    
8.800000000000e+00                    -1.986358489990e+00                    1.598635378501e+00                    2.434278212120e-01                    
8.900000000000e+00                    -1.962943695068e+00                    1.656586007368e+00                    2.842033911938e-01                    
9.000000000000e+00                    -1.936095764160e+00                    1.573733821832e+00                    2.383292747385e-01                    
9.100000000000e+00                    -1.922298400879e+00                    1.573526414433e+00                    2.420776419233e-01                    
9.200000000000e+00                    -1.882808837891e+00                    1.555643634219e+00                    2.372362381206e-01                    
9.300000000000e+00                    -1.858443786621e+00                    1.533355670862e+00                    2.276259174460e-01                    
9.400000000000e+00                    -1.844022399902e+00                    1.519665683983e+00                    2.223177701847e-01                    
9.500000000000e+00                    -1.811261016846e+00                    1.509412855417e+00                    2.210616833332e-01                    
9.600000000000e+00                    -1.796274993896e+00                    1.489261798248e+00                    2.111685812396e-01                    
9.700000000000e+00                    -1.777382537842e+00                    1.463965829248e+00                    1.979137614092e-01                    
9.800000000000e+00                    -1.752147308350e+00                    1.464126462751e+00                    2.024682518007e-01                    
9.900000000000e+00                    -1.729825042725e+00                    1.429924313077e+00                    1.828917126575e-01                    
1.000000000000e+01                    -1.715913665771e+00                    1.416077744092e+00                    1.762995312068e-01                    
1.010000000000e+01                    -1.693270599365e+00                    1.404719157957e+00                    1.721868408375e-01                    
1.020000000000e+01                    -1.676712524414e+00                    1.394018742412e+00                    1.678071764822e-01                    
1.030000000000e+01                    -1.653606475830e+00                    1.356424046714e+00                    1.443075414056e-01                    
1.040000000000e+01                    -1.634913543701e+00                    1.387595156626e+00                    1.703689202828e-01                    
1.050000000000e+01                    -1.620858642578e+00                    1.368351273786e+00                    1.592390755524e-01                    
1.060000000000e+01                    -1.597371765137e+00                    1.357973373954e+00                    1.552979725948e-01                    
1.070000000000e+01                    -1.592388916016e+00                    1.325308194158e+00                    1.328236377355e-01                    
1.080000000000e+01                    -1.576151184082e+00                    1.298883621125e+00                    1.155652180954e-01                    
1.090000000000e+01                    -1.551759429932e+00                    1.299995574156e+00                    1.199976095139e-01                    
1.100000000000e+01                    -1.538091888428e+00                    1.280599775368e+00                    1.075020073798e-01                    
1.110000000000e+01                    -1.518439666748e+00                    1.303895155502e+00                    1.285596916761e-01                    
1.120000000000e+01                    -1.503444335937e+00                    1.265126033282e+00                    1.009356468463e-01                    
1.130000000000e+01                    -1.492602813721e+00                    1.258186428957e+00                    9.758259744103e-02                    
