tempreature                            E                                     Cv                                    S
6.200000000000e+00                    -1.347317563756e+00                    1.323176106555e+00                    1.713803455666e-01                    
6.250000000000e+00                    -1.332999363936e+00                    1.307057358551e+00                    1.611383702193e-01                    
6.300000000000e+00                    -1.324147374737e+00                    1.314190900355e+00                    1.681301298759e-01                    
6.350000000000e+00                    -1.315930873087e+00                    1.282384098255e+00                    1.451043180678e-01                    
6.400000000000e+00                    -1.302629078908e+00                    1.276776739094e+00                    1.425708326296e-01                    
6.450000000000e+00                    -1.295244980498e+00                    1.262481022636e+00                    1.326722628436e-01                    
6.500000000000e+00                    -1.285688952895e+00                    1.254380653918e+00                    1.277427976940e-01                    
6.550000000000e+00                    -1.274128004800e+00                    1.254872551810e+00                    1.297723353283e-01                    
6.600000000000e+00                    -1.257522040204e+00                    1.235270129486e+00                    1.160228532633e-01                    
6.650000000000e+00                    -1.247497533753e+00                    1.234085915563e+00                    1.165337396433e-01                    
6.700000000000e+00                    -1.243125688569e+00                    1.197048479410e+00                    8.708835274242e-02                    
6.750000000000e+00                    -1.226066750675e+00                    1.197898629074e+00                    8.974912000377e-02                    
6.800000000000e+00                    -1.218973081308e+00                    1.191168721964e+00                    8.530457083167e-02                    
6.850000000000e+00                    -1.214269570957e+00                    1.192831099108e+00                    8.769674108731e-02                    
